LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,deficit_pc,Flag Codes,in_comparators,balance_pc,bal_05ya,bal_07ya,bal_10ya,min_05y,min_03y
AUS,GGNLEND,TOT,PC_GDP,A,1970,1.530485687,NA,FALSE,-1.530485687,NA,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1971,1.497167521,NA,FALSE,-1.497167521,NA,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1972,1.963937524,NA,FALSE,-1.963937524,1.8539049136,NA,NA,NA,1.497167521
AUS,GGNLEND,TOT,PC_GDP,A,1973,0.827913459,NA,FALSE,-0.827913459,2.4080331648,2.5353771545714285,NA,NA,0.827913459
AUS,GGNLEND,TOT,PC_GDP,A,1974,3.450020377,NA,FALSE,-3.450020377,2.9439973748,3.041921621142857,3.0745744596,0.827913459,0.827913459
AUS,GGNLEND,TOT,PC_GDP,A,1975,4.301126943,NA,FALSE,-4.301126943,3.5664692606,3.508914986142857,3.2545700207,0.827913459,0.827913459
AUS,GGNLEND,TOT,PC_GDP,A,1976,4.176988571,NA,FALSE,-4.176988571,4.3541107839999995,3.6791648377142856,3.477773423,0.827913459,3.450020377
AUS,GGNLEND,TOT,PC_GDP,A,1977,5.076296953,NA,FALSE,-5.076296953,4.2952440056,4.036668814714286,3.8511709022,0.827913459,4.176988571
AUS,GGNLEND,TOT,PC_GDP,A,1978,4.766121076,NA,FALSE,-4.766121076,4.1011068766,4.0765518385714286,4.3768302869,3.450020377,4.176988571
AUS,GGNLEND,TOT,PC_GDP,A,1979,3.155686485,NA,FALSE,-3.155686485,4.0115494712,4.276092606142857,4.6110437335,3.155686485,3.155686485
AUS,GGNLEND,TOT,PC_GDP,A,1980,3.330441298,NA,FALSE,-3.330441298,4.1358725438,4.548595282571428,4.7011815772,3.155686485,3.155686485
AUS,GGNLEND,TOT,PC_GDP,A,1981,3.729201544,NA,FALSE,-3.729201544,4.3995497898,4.650860695428571,4.6360430085,3.155686485,3.155686485
AUS,GGNLEND,TOT,PC_GDP,A,1982,5.697912316,NA,FALSE,-5.697912316,4.9268434614,4.713201310285714,4.3071165109,3.155686485,3.330441298
AUS,GGNLEND,TOT,PC_GDP,A,1983,6.084507306,NA,FALSE,-6.084507306,5.3012562778,4.766046510142857,3.9341405096999997,3.155686485,3.729201544
AUS,GGNLEND,TOT,PC_GDP,A,1984,5.792154843,NA,FALSE,-5.792154843,5.2605365458,4.545559464285714,NA,3.330441298,5.697912316
AUS,GGNLEND,TOT,PC_GDP,A,1985,5.20250538,NA,FALSE,-5.20250538,4.478360478,4.160867967142857,NA,3.729201544,5.20250538
AUS,GGNLEND,TOT,PC_GDP,A,1986,3.525602884,NA,FALSE,-3.525602884,3.4687312296,NA,NA,3.525602884,3.525602884
AUS,GGNLEND,TOT,PC_GDP,A,1987,1.787031977,NA,FALSE,-1.787031977,NA,NA,NA,1.787031977,1.787031977
AUS,GGNLEND,TOT,PC_GDP,A,1988,1.036361064,NA,FALSE,-1.036361064,NA,NA,NA,1.036361064,1.036361064
AUS,GGNLEND,TOT,PC_GDP,A,1989,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1990,3.316645958,NA,FALSE,-3.316645958,NA,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1991,5.801437814,NA,FALSE,-5.801437814,NA,NA,NA,NA,NA
AUS,GGNLEND,TOT,PC_GDP,A,1992,6.180691344,NA,FALSE,-6.180691344,4.7746203268,NA,NA,NA,3.316645958
AUS,GGNLEND,TOT,PC_GDP,A,1993,4.421805222,NA,FALSE,-4.421805222,4.692300576,3.9867037659999998,NA,NA,4.421805222
