"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LTINT","TOT","PC_PA","A","2009",5.039512,
"AUS","LTINT","TOT","PC_PA","A","2010",5.366042,
"AUS","LTINT","TOT","PC_PA","A","2011",4.879583,
"AUS","LTINT","TOT","PC_PA","A","2012",3.379167,
"AUS","LTINT","TOT","PC_PA","A","2013",3.697292,
"AUS","LTINT","TOT","PC_PA","A","2014",3.656667,
"AUS","LTINT","TOT","PC_PA","A","2015",2.710833,
"AUS","LTINT","TOT","PC_PA","A","2016",2.336667,
"AUS","LTINT","TOT","PC_PA","A","2017",2.639167,
"AUS","LTINT","TOT","PC_PA","A","2018",2.684167,
"AUS","LTINT","TOT","PC_PA","A","2019",1.493333,
"AUS","LTINT","TOT","PC_PA","A","2020",0.9208333,
"ITA","LTINT","TOT","PC_PA","A","2006",4.046142,
"ITA","LTINT","TOT","PC_PA","A","2007",4.487258,
"ITA","LTINT","TOT","PC_PA","A","2008",4.681067,
"ITA","LTINT","TOT","PC_PA","A","2009",4.311183,
"ITA","LTINT","TOT","PC_PA","A","2010",4.035708,
"ITA","LTINT","TOT","PC_PA","A","2011",5.422758,
"ITA","LTINT","TOT","PC_PA","A","2012",5.492675,
"ITA","LTINT","TOT","PC_PA","A","2013",4.316425,
"ITA","LTINT","TOT","PC_PA","A","2014",2.8932,
"ITA","LTINT","TOT","PC_PA","A","2015",1.71395,
"ITA","LTINT","TOT","PC_PA","A","2016",1.486433,
"ITA","LTINT","TOT","PC_PA","A","2017",2.112925,
"ITA","LTINT","TOT","PC_PA","A","2018",2.6104,
"ITA","LTINT","TOT","PC_PA","A","2019",1.913225,
"ITA","LTINT","TOT","PC_PA","A","2020",1.1681,
"SVK","LTINT","TOT","PC_PA","A","2006",4.411667,
"SVK","LTINT","TOT","PC_PA","A","2007",4.490833,
"SVK","LTINT","TOT","PC_PA","A","2008",4.723333,
"SVK","LTINT","TOT","PC_PA","A","2009",4.706666,
"SVK","LTINT","TOT","PC_PA","A","2010",3.871667,
"SVK","LTINT","TOT","PC_PA","A","2011",4.415,
"SVK","LTINT","TOT","PC_PA","A","2012",4.5525,
"SVK","LTINT","TOT","PC_PA","A","2013",3.1875,
"SVK","LTINT","TOT","PC_PA","A","2014",2.070833,
"SVK","LTINT","TOT","PC_PA","A","2015",0.885,
"SVK","LTINT","TOT","PC_PA","A","2016",0.5433334,
"SVK","LTINT","TOT","PC_PA","A","2017",0.9166667,
"SVK","LTINT","TOT","PC_PA","A","2018",0.8858333,
"SVK","LTINT","TOT","PC_PA","A","2019",0.2475,
"SVK","LTINT","TOT","PC_PA","A","2020",-0.0375,
"GRC","LTINT","TOT","PC_PA","A","2006",4.07,
"GRC","LTINT","TOT","PC_PA","A","2007",4.5,
"GRC","LTINT","TOT","PC_PA","A","2008",4.8025,
"GRC","LTINT","TOT","PC_PA","A","2009",5.174167,
"GRC","LTINT","TOT","PC_PA","A","2010",9.091666,
"GRC","LTINT","TOT","PC_PA","A","2011",15.74917,
"GRC","LTINT","TOT","PC_PA","A","2012",22.4975,
"GRC","LTINT","TOT","PC_PA","A","2013",10.05417,
"GRC","LTINT","TOT","PC_PA","A","2014",6.929167,
"GRC","LTINT","TOT","PC_PA","A","2015",9.666364,
"GRC","LTINT","TOT","PC_PA","A","2016",8.36,
"GRC","LTINT","TOT","PC_PA","A","2017",5.978333,
"GRC","LTINT","TOT","PC_PA","A","2018",4.185,
"GRC","LTINT","TOT","PC_PA","A","2019",2.585833,
"GRC","LTINT","TOT","PC_PA","A","2020",1.271667,
"MEX","LTINT","TOT","PC_PA","A","2006",8.388333,
"MEX","LTINT","TOT","PC_PA","A","2007",7.793334,
"MEX","LTINT","TOT","PC_PA","A","2008",8.3125,
"MEX","LTINT","TOT","PC_PA","A","2009",7.96375,
"MEX","LTINT","TOT","PC_PA","A","2010",6.9,
"MEX","LTINT","TOT","PC_PA","A","2011",6.667778,
"MEX","LTINT","TOT","PC_PA","A","2012",5.598333,
"MEX","LTINT","TOT","PC_PA","A","2013",5.6775,
"MEX","LTINT","TOT","PC_PA","A","2014",6.014167,
"MEX","LTINT","TOT","PC_PA","A","2015",5.928333,
"MEX","LTINT","TOT","PC_PA","A","2016",6.19375,
"MEX","LTINT","TOT","PC_PA","A","2017",7.248333,
"MEX","LTINT","TOT","PC_PA","A","2018",7.93,
"MEX","LTINT","TOT","PC_PA","A","2019",7.668334,
"MEX","LTINT","TOT","PC_PA","A","2020",6.249583,
"CHL","LTINT","TOT","PC_PA","A","2006",6.16,
"CHL","LTINT","TOT","PC_PA","A","2007",6.0875,
"CHL","LTINT","TOT","PC_PA","A","2008",7.10119,
"CHL","LTINT","TOT","PC_PA","A","2009",5.665295,
"CHL","LTINT","TOT","PC_PA","A","2010",6.252874,
"CHL","LTINT","TOT","PC_PA","A","2011",5.969645,
"CHL","LTINT","TOT","PC_PA","A","2012",5.42557,
"CHL","LTINT","TOT","PC_PA","A","2013",5.308737,
"CHL","LTINT","TOT","PC_PA","A","2014",4.736615,
"CHL","LTINT","TOT","PC_PA","A","2015",4.480221,
"CHL","LTINT","TOT","PC_PA","A","2016",4.405277,
"CHL","LTINT","TOT","PC_PA","A","2017",4.244958,
"CHL","LTINT","TOT","PC_PA","A","2018",4.497857,
"CHL","LTINT","TOT","PC_PA","A","2019",3.577887,
"CHL","LTINT","TOT","PC_PA","A","2020",2.798563,
"SVN","LTINT","TOT","PC_PA","A","2006",3.853333,
"SVN","LTINT","TOT","PC_PA","A","2007",4.529167,
"SVN","LTINT","TOT","PC_PA","A","2008",4.606667,
"SVN","LTINT","TOT","PC_PA","A","2009",4.375,
"SVN","LTINT","TOT","PC_PA","A","2010",3.8325,
"SVN","LTINT","TOT","PC_PA","A","2011",4.970833,
"SVN","LTINT","TOT","PC_PA","A","2012",5.808333,
"SVN","LTINT","TOT","PC_PA","A","2013",5.811666,
"SVN","LTINT","TOT","PC_PA","A","2014",3.27,
"SVN","LTINT","TOT","PC_PA","A","2015",1.706667,
"SVN","LTINT","TOT","PC_PA","A","2016",1.149167,
"SVN","LTINT","TOT","PC_PA","A","2017",0.96,
"SVN","LTINT","TOT","PC_PA","A","2018",0.9308333,
"SVN","LTINT","TOT","PC_PA","A","2019",0.275,
"SVN","LTINT","TOT","PC_PA","A","2020",0.07916667,
"CHE","LTINT","TOT","PC_PA","A","2006",2.517083,
"CHE","LTINT","TOT","PC_PA","A","2007",2.92675,
"CHE","LTINT","TOT","PC_PA","A","2008",2.896833,
"CHE","LTINT","TOT","PC_PA","A","2009",2.202667,
"CHE","LTINT","TOT","PC_PA","A","2010",1.631667,
"CHE","LTINT","TOT","PC_PA","A","2011",1.471667,
"CHE","LTINT","TOT","PC_PA","A","2012",0.6466666,
"CHE","LTINT","TOT","PC_PA","A","2013",0.9491667,
"CHE","LTINT","TOT","PC_PA","A","2014",0.6925,
"CHE","LTINT","TOT","PC_PA","A","2015",-0.06916667,
"CHE","LTINT","TOT","PC_PA","A","2016",-0.362,
"CHE","LTINT","TOT","PC_PA","A","2017",-0.07208333,
"CHE","LTINT","TOT","PC_PA","A","2018",0.03316667,
"CHE","LTINT","TOT","PC_PA","A","2019",-0.489,
"CHE","LTINT","TOT","PC_PA","A","2020",-0.5238333,
"JPN","LTINT","TOT","PC_PA","A","2006",1.7405,
"JPN","LTINT","TOT","PC_PA","A","2007",1.6655,
"JPN","LTINT","TOT","PC_PA","A","2008",1.467333,
"JPN","LTINT","TOT","PC_PA","A","2009",1.33375,
"JPN","LTINT","TOT","PC_PA","A","2010",1.148333,
"JPN","LTINT","TOT","PC_PA","A","2011",1.102417,
"JPN","LTINT","TOT","PC_PA","A","2012",0.8355833,
"JPN","LTINT","TOT","PC_PA","A","2013",0.6896667,
"JPN","LTINT","TOT","PC_PA","A","2014",0.5203333,
"JPN","LTINT","TOT","PC_PA","A","2015",0.35,
"JPN","LTINT","TOT","PC_PA","A","2016",-0.06625,
"JPN","LTINT","TOT","PC_PA","A","2017",0.05166667,
"JPN","LTINT","TOT","PC_PA","A","2018",0.065,
"JPN","LTINT","TOT","PC_PA","A","2019",-0.1104167,
"JPN","LTINT","TOT","PC_PA","A","2020",-0.005416667,
"ZAF","LTINT","TOT","PC_PA","A","2006",7.9375,
"ZAF","LTINT","TOT","PC_PA","A","2007",7.985,
"ZAF","LTINT","TOT","PC_PA","A","2008",9.1,
"ZAF","LTINT","TOT","PC_PA","A","2009",8.703333,
"ZAF","LTINT","TOT","PC_PA","A","2010",8.615,
"ZAF","LTINT","TOT","PC_PA","A","2011",8.52,
"ZAF","LTINT","TOT","PC_PA","A","2012",7.9,
"ZAF","LTINT","TOT","PC_PA","A","2013",7.7225,
"ZAF","LTINT","TOT","PC_PA","A","2014",8.25,
"ZAF","LTINT","TOT","PC_PA","A","2015",8.165833,
"ZAF","LTINT","TOT","PC_PA","A","2016",9.020833,
"ZAF","LTINT","TOT","PC_PA","A","2017",9.0525,
"ZAF","LTINT","TOT","PC_PA","A","2018",9.131667,
"ZAF","LTINT","TOT","PC_PA","A","2019",9.0725,
"ZAF","LTINT","TOT","PC_PA","A","2020",10.075,
"DEU","LTINT","TOT","PC_PA","A","2006",3.764125,
"DEU","LTINT","TOT","PC_PA","A","2007",4.217113,
"DEU","LTINT","TOT","PC_PA","A","2008",3.984804,
"DEU","LTINT","TOT","PC_PA","A","2009",3.222218,
"DEU","LTINT","TOT","PC_PA","A","2010",2.744305,
"DEU","LTINT","TOT","PC_PA","A","2011",2.609223,
"DEU","LTINT","TOT","PC_PA","A","2012",1.49513,
"DEU","LTINT","TOT","PC_PA","A","2013",1.571408,
"DEU","LTINT","TOT","PC_PA","A","2014",1.163512,
"DEU","LTINT","TOT","PC_PA","A","2015",0.4953091,
"DEU","LTINT","TOT","PC_PA","A","2016",0.09157856,
"DEU","LTINT","TOT","PC_PA","A","2017",0.31638,
"DEU","LTINT","TOT","PC_PA","A","2018",0.3964832,
"DEU","LTINT","TOT","PC_PA","A","2019",-0.2536345,
"DEU","LTINT","TOT","PC_PA","A","2020",-0.5111811,
"USA","LTINT","TOT","PC_PA","A","2006",4.791667,
"USA","LTINT","TOT","PC_PA","A","2007",4.629167,
"USA","LTINT","TOT","PC_PA","A","2008",3.666667,
"USA","LTINT","TOT","PC_PA","A","2009",3.256667,
"USA","LTINT","TOT","PC_PA","A","2010",3.214167,
"USA","LTINT","TOT","PC_PA","A","2011",2.785833,
"USA","LTINT","TOT","PC_PA","A","2012",1.8025,
"USA","LTINT","TOT","PC_PA","A","2013",2.350833,
"USA","LTINT","TOT","PC_PA","A","2014",2.540833,
"USA","LTINT","TOT","PC_PA","A","2015",2.135833,
"USA","LTINT","TOT","PC_PA","A","2016",1.841667,
"USA","LTINT","TOT","PC_PA","A","2017",2.33,
"USA","LTINT","TOT","PC_PA","A","2018",2.91,
"USA","LTINT","TOT","PC_PA","A","2019",2.144167,
"USA","LTINT","TOT","PC_PA","A","2020",0.8941666,
"NZL","LTINT","TOT","PC_PA","A","2006",5.780833,
"NZL","LTINT","TOT","PC_PA","A","2007",6.265,
"NZL","LTINT","TOT","PC_PA","A","2008",6.080833,
"NZL","LTINT","TOT","PC_PA","A","2009",5.456666,
"NZL","LTINT","TOT","PC_PA","A","2010",5.603333,
"NZL","LTINT","TOT","PC_PA","A","2011",4.945,
"NZL","LTINT","TOT","PC_PA","A","2012",3.685,
"NZL","LTINT","TOT","PC_PA","A","2013",4.093333,
"NZL","LTINT","TOT","PC_PA","A","2014",4.304167,
"NZL","LTINT","TOT","PC_PA","A","2015",3.423333,
"NZL","LTINT","TOT","PC_PA","A","2016",2.761667,
"NZL","LTINT","TOT","PC_PA","A","2017",2.990833,
"NZL","LTINT","TOT","PC_PA","A","2018",2.754167,
"NZL","LTINT","TOT","PC_PA","A","2019",1.649167,
"NZL","LTINT","TOT","PC_PA","A","2020",0.8908333,
"IRL","LTINT","TOT","PC_PA","A","2006",3.765,
"IRL","LTINT","TOT","PC_PA","A","2007",4.305833,
"IRL","LTINT","TOT","PC_PA","A","2008",4.525833,
"IRL","LTINT","TOT","PC_PA","A","2009",5.225,
"IRL","LTINT","TOT","PC_PA","A","2010",5.739167,
"IRL","LTINT","TOT","PC_PA","A","2011",9.601666,
"IRL","LTINT","TOT","PC_PA","A","2012",6.171667,
"IRL","LTINT","TOT","PC_PA","A","2013",3.79,
"IRL","LTINT","TOT","PC_PA","A","2014",2.3675,
"IRL","LTINT","TOT","PC_PA","A","2015",1.1825,
"IRL","LTINT","TOT","PC_PA","A","2016",0.7358333,
"IRL","LTINT","TOT","PC_PA","A","2017",0.8016667,
"IRL","LTINT","TOT","PC_PA","A","2018",0.9508333,
"IRL","LTINT","TOT","PC_PA","A","2019",0.3333333,
"IRL","LTINT","TOT","PC_PA","A","2020",-0.06083333,
"DNK","LTINT","TOT","PC_PA","A","2006",3.812175,
"DNK","LTINT","TOT","PC_PA","A","2007",4.286608,
"DNK","LTINT","TOT","PC_PA","A","2008",4.281425,
"DNK","LTINT","TOT","PC_PA","A","2009",3.586242,
"DNK","LTINT","TOT","PC_PA","A","2010",2.926058,
"DNK","LTINT","TOT","PC_PA","A","2011",2.72935,
"DNK","LTINT","TOT","PC_PA","A","2012",1.403058,
"DNK","LTINT","TOT","PC_PA","A","2013",1.745833,
"DNK","LTINT","TOT","PC_PA","A","2014",1.326667,
"DNK","LTINT","TOT","PC_PA","A","2015",0.6908333,
"DNK","LTINT","TOT","PC_PA","A","2016",0.3208333,
"DNK","LTINT","TOT","PC_PA","A","2017",0.4766667,
"DNK","LTINT","TOT","PC_PA","A","2018",0.4558333,
"DNK","LTINT","TOT","PC_PA","A","2019",-0.185,
"DNK","LTINT","TOT","PC_PA","A","2020",-0.36,
"CZE","LTINT","TOT","PC_PA","A","2006",3.8,
"CZE","LTINT","TOT","PC_PA","A","2007",4.3025,
"CZE","LTINT","TOT","PC_PA","A","2008",4.633333,
"CZE","LTINT","TOT","PC_PA","A","2009",4.8375,
"CZE","LTINT","TOT","PC_PA","A","2010",3.884167,
"CZE","LTINT","TOT","PC_PA","A","2011",3.7075,
"CZE","LTINT","TOT","PC_PA","A","2012",2.781667,
"CZE","LTINT","TOT","PC_PA","A","2013",2.111667,
"CZE","LTINT","TOT","PC_PA","A","2014",1.575833,
"CZE","LTINT","TOT","PC_PA","A","2015",0.575,
"CZE","LTINT","TOT","PC_PA","A","2016",0.4275,
"CZE","LTINT","TOT","PC_PA","A","2017",0.9808334,
"CZE","LTINT","TOT","PC_PA","A","2018",1.981667,
"CZE","LTINT","TOT","PC_PA","A","2019",1.548333,
"CZE","LTINT","TOT","PC_PA","A","2020",1.128333,
"LUX","LTINT","TOT","PC_PA","A","2006",3.303333,
"LUX","LTINT","TOT","PC_PA","A","2010",2.950091,
"LUX","LTINT","TOT","PC_PA","A","2011",2.921892,
"LUX","LTINT","TOT","PC_PA","A","2012",1.834661,
"LUX","LTINT","TOT","PC_PA","A","2013",1.849622,
"LUX","LTINT","TOT","PC_PA","A","2014",1.336248,
"LUX","LTINT","TOT","PC_PA","A","2015",0.36428,
"LUX","LTINT","TOT","PC_PA","A","2016",-0.177239,
"LUX","LTINT","TOT","PC_PA","A","2017",0.5027078,
"LUX","LTINT","TOT","PC_PA","A","2018",0.5640635,
"LUX","LTINT","TOT","PC_PA","A","2019",-0.1200168,
"LUX","LTINT","TOT","PC_PA","A","2020",-0.4101667,
"RUS","LTINT","TOT","PC_PA","A","2006",6.976666,
"RUS","LTINT","TOT","PC_PA","A","2007",6.7175,
"RUS","LTINT","TOT","PC_PA","A","2008",7.523334,
"RUS","LTINT","TOT","PC_PA","A","2009",9.874166,
"RUS","LTINT","TOT","PC_PA","A","2010",7.831666,
"RUS","LTINT","TOT","PC_PA","A","2011",8.060833,
"RUS","LTINT","TOT","PC_PA","A","2012",8.154166,
"RUS","LTINT","TOT","PC_PA","A","2013",7.330833,
"RUS","LTINT","TOT","PC_PA","A","2014",8.464167,
"RUS","LTINT","TOT","PC_PA","A","2015",10.88667,
"RUS","LTINT","TOT","PC_PA","A","2016",10.43833,
"RUS","LTINT","TOT","PC_PA","A","2017",8.9925,
"SWE","LTINT","TOT","PC_PA","A","2006",3.704167,
"SWE","LTINT","TOT","PC_PA","A","2007",4.1675,
"SWE","LTINT","TOT","PC_PA","A","2008",3.8875,
"SWE","LTINT","TOT","PC_PA","A","2009",3.25,
"SWE","LTINT","TOT","PC_PA","A","2010",2.893333,
"SWE","LTINT","TOT","PC_PA","A","2011",2.605,
"SWE","LTINT","TOT","PC_PA","A","2012",1.5925,
"SWE","LTINT","TOT","PC_PA","A","2013",2.120833,
"SWE","LTINT","TOT","PC_PA","A","2014",1.72,
"SWE","LTINT","TOT","PC_PA","A","2015",0.7191667,
"SWE","LTINT","TOT","PC_PA","A","2016",0.5191666,
"SWE","LTINT","TOT","PC_PA","A","2017",0.655,
"SWE","LTINT","TOT","PC_PA","A","2018",0.6516666,
"SWE","LTINT","TOT","PC_PA","A","2019",0.04666667,
"SWE","LTINT","TOT","PC_PA","A","2020",-0.03833333,
"FRA","LTINT","TOT","PC_PA","A","2006",3.795742,
"FRA","LTINT","TOT","PC_PA","A","2007",4.3032,
"FRA","LTINT","TOT","PC_PA","A","2008",4.234325,
"FRA","LTINT","TOT","PC_PA","A","2009",3.648817,
"FRA","LTINT","TOT","PC_PA","A","2010",3.117017,
"FRA","LTINT","TOT","PC_PA","A","2011",3.321058,
"FRA","LTINT","TOT","PC_PA","A","2012",2.535992,
"FRA","LTINT","TOT","PC_PA","A","2013",2.20435,
"FRA","LTINT","TOT","PC_PA","A","2014",1.666442,
"FRA","LTINT","TOT","PC_PA","A","2015",0.8418583,
"FRA","LTINT","TOT","PC_PA","A","2016",0.4678833,
"FRA","LTINT","TOT","PC_PA","A","2017",0.8098583,
"FRA","LTINT","TOT","PC_PA","A","2018",0.7841083,
"FRA","LTINT","TOT","PC_PA","A","2019",0.1302,
"FRA","LTINT","TOT","PC_PA","A","2020",-0.1452667,
"ISR","LTINT","TOT","PC_PA","A","2006",6.314167,
"ISR","LTINT","TOT","PC_PA","A","2007",5.554167,
"ISR","LTINT","TOT","PC_PA","A","2008",5.923333,
"ISR","LTINT","TOT","PC_PA","A","2009",5.063334,
"ISR","LTINT","TOT","PC_PA","A","2010",4.684166,
"ISR","LTINT","TOT","PC_PA","A","2011",4.98,
"ISR","LTINT","TOT","PC_PA","A","2012",4.399167,
"ISR","LTINT","TOT","PC_PA","A","2013",3.795833,
"ISR","LTINT","TOT","PC_PA","A","2014",2.885833,
"ISR","LTINT","TOT","PC_PA","A","2015",2.07,
"ISR","LTINT","TOT","PC_PA","A","2016",1.879167,
"ISR","LTINT","TOT","PC_PA","A","2017",1.909167,
"ISR","LTINT","TOT","PC_PA","A","2018",1.994167,
"ISR","LTINT","TOT","PC_PA","A","2019",1.468333,
"ISR","LTINT","TOT","PC_PA","A","2020",0.7775,
"CAN","LTINT","TOT","PC_PA","A","2006",4.20776,
"CAN","LTINT","TOT","PC_PA","A","2007",4.269767,
"CAN","LTINT","TOT","PC_PA","A","2008",3.605302,
"CAN","LTINT","TOT","PC_PA","A","2009",3.230619,
"CAN","LTINT","TOT","PC_PA","A","2010",3.23514,
"CAN","LTINT","TOT","PC_PA","A","2011",2.783036,
"CAN","LTINT","TOT","PC_PA","A","2012",1.87341,
"CAN","LTINT","TOT","PC_PA","A","2013",2.261959,
"CAN","LTINT","TOT","PC_PA","A","2014",2.23083,
"CAN","LTINT","TOT","PC_PA","A","2015",1.521695,
"CAN","LTINT","TOT","PC_PA","A","2016",1.251758,
"CAN","LTINT","TOT","PC_PA","A","2017",1.783652,
"CAN","LTINT","TOT","PC_PA","A","2018",2.277912,
"CAN","LTINT","TOT","PC_PA","A","2019",1.588883,
"CAN","LTINT","TOT","PC_PA","A","2020",0.7531087,
"ISL","LTINT","TOT","PC_PA","A","2006",8.830566,
"ISL","LTINT","TOT","PC_PA","A","2007",9.419559,
"ISL","LTINT","TOT","PC_PA","A","2008",11.06824,
"ISL","LTINT","TOT","PC_PA","A","2009",8.256277,
"ISL","LTINT","TOT","PC_PA","A","2010",6.085834,
"ISL","LTINT","TOT","PC_PA","A","2011",5.978333,
"ISL","LTINT","TOT","PC_PA","A","2012",6.194167,
"ISL","LTINT","TOT","PC_PA","A","2013",5.789166,
"ISL","LTINT","TOT","PC_PA","A","2014",6.373333,
"ISL","LTINT","TOT","PC_PA","A","2015",6.259167,
"ISL","LTINT","TOT","PC_PA","A","2016",5.603333,
"ISL","LTINT","TOT","PC_PA","A","2017",4.858333,
"ISL","LTINT","TOT","PC_PA","A","2018",5.330833,
"ISL","LTINT","TOT","PC_PA","A","2019",3.974167,
"ISL","LTINT","TOT","PC_PA","A","2020",2.466667,
"NLD","LTINT","TOT","PC_PA","A","2006",3.78075,
"NLD","LTINT","TOT","PC_PA","A","2007",4.288167,
"NLD","LTINT","TOT","PC_PA","A","2008",4.22675,
"NLD","LTINT","TOT","PC_PA","A","2009",3.686833,
"NLD","LTINT","TOT","PC_PA","A","2010",2.990083,
"NLD","LTINT","TOT","PC_PA","A","2011",2.98875,
"NLD","LTINT","TOT","PC_PA","A","2012",1.9335,
"NLD","LTINT","TOT","PC_PA","A","2013",1.958917,
"NLD","LTINT","TOT","PC_PA","A","2014",1.454667,
"NLD","LTINT","TOT","PC_PA","A","2015",0.6903333,
"NLD","LTINT","TOT","PC_PA","A","2016",0.2910833,
"NLD","LTINT","TOT","PC_PA","A","2017",0.5220833,
"NLD","LTINT","TOT","PC_PA","A","2018",0.5766667,
"NLD","LTINT","TOT","PC_PA","A","2019",-0.07,
"NLD","LTINT","TOT","PC_PA","A","2020",-0.3766667,
"FIN","LTINT","TOT","PC_PA","A","2006",3.7825,
"FIN","LTINT","TOT","PC_PA","A","2007",4.293334,
"FIN","LTINT","TOT","PC_PA","A","2008",4.29,
"FIN","LTINT","TOT","PC_PA","A","2009",3.738333,
"FIN","LTINT","TOT","PC_PA","A","2010",3.010833,
"FIN","LTINT","TOT","PC_PA","A","2011",3.005833,
"FIN","LTINT","TOT","PC_PA","A","2012",1.883333,
"FIN","LTINT","TOT","PC_PA","A","2013",1.860833,
"FIN","LTINT","TOT","PC_PA","A","2014",1.448333,
"FIN","LTINT","TOT","PC_PA","A","2015",0.7233334,
"FIN","LTINT","TOT","PC_PA","A","2016",0.365,
"FIN","LTINT","TOT","PC_PA","A","2017",0.5466667,
"FIN","LTINT","TOT","PC_PA","A","2018",0.6616667,
"FIN","LTINT","TOT","PC_PA","A","2019",0.07,
"FIN","LTINT","TOT","PC_PA","A","2020",-0.2191667,
"POL","LTINT","TOT","PC_PA","A","2006",5.231667,
"POL","LTINT","TOT","PC_PA","A","2007",5.484334,
"POL","LTINT","TOT","PC_PA","A","2008",6.071667,
"POL","LTINT","TOT","PC_PA","A","2009",6.120598,
"POL","LTINT","TOT","PC_PA","A","2010",5.781667,
"POL","LTINT","TOT","PC_PA","A","2011",5.955583,
"POL","LTINT","TOT","PC_PA","A","2012",4.999283,
"POL","LTINT","TOT","PC_PA","A","2013",4.033292,
"POL","LTINT","TOT","PC_PA","A","2014",3.516211,
"POL","LTINT","TOT","PC_PA","A","2015",2.700557,
"POL","LTINT","TOT","PC_PA","A","2016",3.035689,
"POL","LTINT","TOT","PC_PA","A","2017",3.42,
"POL","LTINT","TOT","PC_PA","A","2018",3.198333,
"POL","LTINT","TOT","PC_PA","A","2019",2.3475,
"POL","LTINT","TOT","PC_PA","A","2020",1.499167,
"GBR","LTINT","TOT","PC_PA","A","2006",4.501675,
"GBR","LTINT","TOT","PC_PA","A","2007",5.011275,
"GBR","LTINT","TOT","PC_PA","A","2008",4.590725,
"GBR","LTINT","TOT","PC_PA","A","2009",3.647517,
"GBR","LTINT","TOT","PC_PA","A","2010",3.624425,
"GBR","LTINT","TOT","PC_PA","A","2011",3.135992,
"GBR","LTINT","TOT","PC_PA","A","2012",1.918042,
"GBR","LTINT","TOT","PC_PA","A","2013",2.389783,
"GBR","LTINT","TOT","PC_PA","A","2014",2.569083,
"GBR","LTINT","TOT","PC_PA","A","2015",1.901033,
"GBR","LTINT","TOT","PC_PA","A","2016",1.305208,
"GBR","LTINT","TOT","PC_PA","A","2017",1.235808,
"GBR","LTINT","TOT","PC_PA","A","2018",1.460658,
"GBR","LTINT","TOT","PC_PA","A","2019",0.935825,
"GBR","LTINT","TOT","PC_PA","A","2020",0.3744417,
"AUT","LTINT","TOT","PC_PA","A","2006",3.8,
"AUT","LTINT","TOT","PC_PA","A","2007",4.2975,
"AUT","LTINT","TOT","PC_PA","A","2008",4.358333,
"AUT","LTINT","TOT","PC_PA","A","2009",3.936667,
"AUT","LTINT","TOT","PC_PA","A","2010",3.225833,
"AUT","LTINT","TOT","PC_PA","A","2011",3.319167,
"AUT","LTINT","TOT","PC_PA","A","2012",2.3725,
"AUT","LTINT","TOT","PC_PA","A","2013",2.01,
"AUT","LTINT","TOT","PC_PA","A","2014",1.4875,
"AUT","LTINT","TOT","PC_PA","A","2015",0.7463517,
"AUT","LTINT","TOT","PC_PA","A","2016",0.3753925,
"AUT","LTINT","TOT","PC_PA","A","2017",0.583265,
"AUT","LTINT","TOT","PC_PA","A","2018",0.6861517,
"AUT","LTINT","TOT","PC_PA","A","2019",0.0629325,
"AUT","LTINT","TOT","PC_PA","A","2020",-0.2248375,
"ESP","LTINT","TOT","PC_PA","A","2006",3.78431,
"ESP","LTINT","TOT","PC_PA","A","2007",4.306627,
"ESP","LTINT","TOT","PC_PA","A","2008",4.363732,
